Time,Icc,Pm,Vwind,Pout,Vcc,S1.Pm,S1.Cp,S1.pitch,S1.v_ms,S1.lambda,S1.RPM,S1.rad_s,S1.torque
0.123,-2.58638e-006,2.36263,100.8,-2.64776e-005,18,33.9808,0.0804456,15,28,2.39423,6401.69,670.384,0.00352429
0.124,-2.58282e-006,2.44227,100.8,-2.67334e-005,18,34.0958,0.0807179,15,28,2.39759,6410.68,671.325,0.00363798
0.125,-2.57216e-006,2.4457,100.8,-2.69878e-005,18,34.2114,0.0809916,15,28,2.40096,6419.69,672.269,0.00363798
0.126,-2.57216e-006,2.44914,100.8,-2.72409e-005,18,34.3276,0.0812666,15,28,2.40433,6428.72,673.214,0.00363798
0.127,-2.56861e-006,2.45258,100.8,-2.74925e-005,18,34.4443,0.081543,15,28,2.40772,6437.76,674.161,0.00363798
0.128,-2.55795e-006,2.37928,100.8,-2.77427e-005,18,34.5616,0.0818207,15,28,2.41111,6446.83,675.11,0.00352429
0.129,-2.5544e-006,2.4595,100.8,-2.79913e-005,18,34.6796,0.0820999,15,28,2.4145,6455.91,676.061,0.00363798
0.13,-2.5473e-006,2.46296,100.8,-2.82385e-005,18,34.7981,0.0823804,15,28,2.4179,6465.01,677.014,0.00363798
0.131,-2.54374e-006,2.46644,100.8,-2.84842e-005,18,34.9172,0.0826624,15,28,2.42131,6474.12,677.969,0.00363798
0.132,-2.5473e-006,2.46992,100.8,-2.87283e-005,18,35.0369,0.0829457,15,28,2.42473,6483.26,678.925,0.00363798
0.133,-2.53664e-006,2.4734,100.8,-2.89709e-005,18,35.1571,0.0832305,15,28,2.42816,6492.41,679.884,0.00363798
0.134,-2.53308e-006,2.5543,100.8,-2.92118e-005,18,35.278,0.0835167,15,28,2.43159,6501.59,680.845,0.00375167
0.135,-2.53308e-006,2.4804,100.8,-2.94512e-005,18,35.3996,0.0838044,15,28,2.43502,6510.78,681.807,0.00363798
0.136,-2.52243e-006,2.48391,100.8,-2.96889e-005,18,35.5217,0.0840935,15,28,2.43847,6519.99,682.772,0.00363798
0.137,-2.51887e-006,2.40969,100.8,-2.99249e-005,18,35.6444,0.0843841,15,28,2.44192,6529.22,683.738,0.00352429
0.138,-2.51887e-006,2.49095,100.8,-3.01593e-005,18,35.7678,0.0846761,15,28,2.44538,6538.47,684.707,0.00363798
0.139,-2.50822e-006,2.49448,100.8,-3.03919e-005,18,35.8918,0.0849696,15,28,2.44885,6547.74,685.677,0.00363798
0.14,-2.51532e-006,2.65414,100.8,-3.06229e-005,18,36.0164,0.0852646,15,28,2.45232,6557.02,686.65,0.00386535
0.141,-2.50111e-006,2.57974,100.8,-3.08521e-005,18,36.1416,0.0855612,15,28,2.4558,6566.33,687.624,0.00375167
0.142,-2.49401e-006,2.5834,100.8,-3.10795e-005,18,36.2675,0.0858592,15,28,2.45929,6575.65,688.601,0.00375167
0.143,-2.50111e-006,2.58707,100.8,-3.13052e-005,18,36.394,0.0861587,15,28,2.46278,6585,689.579,0.00375167
